province_name,city_name,county_name,area_code,post_code
内蒙古自治区,乌兰察布市,四子王旗,0474,011800
内蒙古自治区,兴安盟,,0482,137401
内蒙古自治区,兴安盟,乌兰浩特市,0482,137401
内蒙古自治区,兴安盟,阿尔山市,0482,137800
内蒙古自治区,兴安盟,突泉县,0482,137500
内蒙古自治区,兴安盟,科尔沁右翼前旗,0482,137423
内蒙古自治区,兴安盟,科尔沁右翼中旗,0482,029400
内蒙古自治区,兴安盟,扎赉特旗,0482,137600
内蒙古自治区,锡林郭勒盟,,0479,026000
内蒙古自治区,锡林郭勒盟,锡林浩特市,0479,026021
内蒙古自治区,锡林郭勒盟,二连浩特市,0479,011100
内蒙古自治区,锡林郭勒盟,多伦县,0479,027300
内蒙古自治区,锡林郭勒盟,阿巴嘎旗,0479,011400
内蒙古自治区,锡林郭勒盟,苏尼特左旗,0479,011300
内蒙古自治区,锡林郭勒盟,苏尼特右旗,0479,011200
内蒙古自治区,锡林郭勒盟,东乌珠穆沁旗,0479,026300
内蒙古自治区,锡林郭勒盟,西乌珠穆沁旗,0479,026200
内蒙古自治区,锡林郭勒盟,太仆寺旗,0479,027000
内蒙古自治区,锡林郭勒盟,镶黄旗,0479,013250
内蒙古自治区,锡林郭勒盟,正镶白旗,0479,013800
内蒙古自治区,锡林郭勒盟,正蓝旗,0479,027200
内蒙古自治区,阿拉善盟,,0483,750306
内蒙古自治区,阿拉善盟,阿拉善左旗,0483,750306
内蒙古自治区,阿拉善盟,阿拉善右旗,0483,737300
内蒙古自治区,阿拉善盟,额济纳旗,0483,735400
辽宁省,沈阳市,,024,110013
辽宁省,沈阳市,沈河区,024,110011
辽宁省,沈阳市,和平区,024,110001
辽宁省,沈阳市,大东区,024,110041
辽宁省,沈阳市,皇姑区,024,110031
辽宁省,沈阳市,铁西区,024,110021
辽宁省,沈阳市,苏家屯区,024,110101
辽宁省,沈阳市,浑南区,024,110015
辽宁省,沈阳市,沈北新区,024,110121
辽宁省,沈阳市,于洪区,024,110141
辽宁省,沈阳市,辽中区,024,110200
辽宁省,沈阳市,新民市,024,110300
辽宁省,沈阳市,康平县,024,110500
辽宁省,沈阳市,法库县,024,110400
辽宁省,大连市,,0411,116011
辽宁省,大连市,西岗区,0411,116011
辽宁省,大连市,中山区,0411,116001
辽宁省,大连市,沙河口区,0411,116021
辽宁省,大连市,甘井子区,0411,116033
辽宁省,大连市,旅顺口区,0411,116050
辽宁省,大连市,金州区,0411,116600
辽宁省,大连市,瓦房店市,0411,116300
辽宁省,大连市,普兰店区,0411,116299
辽宁省,大连市,庄河市,0411,116400
辽宁省,大连市,长海县,0411,116500
辽宁省,鞍山市,,0412,114001
辽宁省,鞍山市,铁东区,0412,114001
辽宁省,鞍山市,铁西区,0412,114013
辽宁省,鞍山市,立山区,0412,114031
辽宁省,鞍山市,千山区,0412,114041
辽宁省,鞍山市,海城市,0412,114200
辽宁省,鞍山市,台安县,0412,114100
辽宁省,鞍山市,岫岩满族自治县,0412,114300
辽宁省,抚顺市,,024,113008
